Locale,Category,Tool,Total Keys,Pending,Translated,Percentage
ru,development,base64-encoder-decoder,24,0,24,100%
ru,development,code-formatter,20,0,20,100%
ru,development,cron-job-generator,38,0,38,100%
ru,development,css-minifier,22,0,22,100%
ru,development,curl-command-builder,15,0,15,100%
ru,development,html-encoder-decoder,42,0,42,100%
ru,development,html-minifier,16,0,16,100%
ru,development,html-to-markdown-converter,25,0,25,100%
ru,development,html-viewer,12,0,12,100%
ru,development,js-minifier,39,1,38,97.44%
ru,development,json-formatter,53,0,53,100%
ru,development,json-parser,18,0,18,100%
ru,development,json-to-csv-converter,49,0,49,100%
ru,development,json-to-sql-converter,72,0,72,100%
ru,development,json-to-xml-converter,74,0,74,100%
ru,development,json-to-yaml-converter,20,0,20,100%
ru,development,jwt-decoder,24,0,24,100%
ru,development,markdown-to-html-converter,18,0,18,100%
ru,development,md5-generator,19,0,19,100%
ru,development,sql-to-json,15,0,15,100%
ru,development,sql-to-json-converter,84,0,84,100%
ru,development,unicode-encoder-decoder,17,0,17,100%
ru,development,url-encoder-decoder,18,0,18,100%
ru,development,uuid-generator,14,0,14,100%
ru,development,xml-formatter,12,0,12,100%
ru,development,xml-to-csv,13,0,13,100%
ru,development,xml-to-json,14,0,14,100%
ru,development,yaml-to-json,15,0,15,100%
ru,converters,angle-converter,36,0,36,100%
ru,converters,area-converter,40,0,40,100%
ru,converters,ascii-converter,55,0,55,100%
ru,converters,binary-hex-converter,44,0,44,100%
ru,converters,binary-to-text,45,0,45,100%
ru,converters,camel-case-converter,33,4,29,87.88%
ru,converters,case-converter,30,3,27,90%
ru,converters,cooking-unit-converter,39,0,39,100%
ru,converters,data-transfer-rate-converter,28,0,28,100%
ru,converters,decimal-binary-converter,84,0,84,100%
ru,converters,decimal-hex-converter,84,0,84,100%
ru,converters,decimal-octal-converter,84,0,84,100%
ru,converters,density-converter,35,0,35,100%
ru,converters,digital-storage-converter,38,0,38,100%
ru,converters,energy-converter,38,0,38,100%
ru,converters,force-converter,32,0,32,100%
ru,converters,frequency-converter,30,0,30,100%
ru,converters,fuel-consumption-converter,30,0,30,100%
ru,converters,kebab-case-converter,28,4,24,85.71%
ru,converters,length-converter,37,0,37,100%
ru,converters,molar-mass-converter,16,0,16,100%
ru,converters,number-base-converter,78,78,0,0%
ru,converters,pascal-case-converter,24,4,20,83.33%
ru,converters,power-converter,31,0,31,100%
ru,converters,pressure-converter,30,0,30,100%
ru,converters,rgb-hex-converter,62,0,62,100%
ru,converters,sentence-case-converter,12,4,8,66.67%
ru,converters,snake-case-converter,16,4,12,75%
ru,converters,speed-converter,34,0,34,100%
ru,converters,studly-case-converter,62,58,4,6.45%
ru,converters,temperature-converter,30,0,30,100%
ru,converters,text-to-binary,18,7,11,61.11%
ru,converters,torque-converter,27,0,27,100%
ru,converters,volume-converter,33,0,33,100%
ru,converters,weight-converter,32,0,32,100%
ru,spreadsheet,csv-to-excel,22,5,17,77.27%
ru,spreadsheet,csv-to-json,4,4,0,0%
ru,spreadsheet,csv-to-sql,25,5,20,80%
ru,spreadsheet,csv-to-tsv,4,4,0,0%
ru,spreadsheet,csv-to-xml-converter,75,75,0,0%
ru,spreadsheet,excel-to-csv,22,5,17,77.27%
ru,spreadsheet,google-sheets-to-excel,22,5,17,77.27%
ru,spreadsheet,tsv-to-csv-converter,78,78,0,0%
ru,spreadsheet,xls-to-xlsx,22,5,17,77.27%
ru,spreadsheet,xlsx-to-xls,22,5,17,77.27%
ru,youtube,youtube-channel-data-extractor,74,18,56,75.68%
ru,youtube,youtube-channel-id-finder,68,34,34,50%
ru,youtube,youtube-earnings-calculator,67,63,4,5.97%
ru,youtube,youtube-handle-checker,44,2,42,95.45%
ru,youtube,youtube-monetization-checker,56,2,54,96.43%
ru,youtube,youtube-tag-generator,40,2,38,95%
ru,youtube,youtube-thumbnail-downloader,79,77,2,2.53%
ru,youtube,youtube-video-data-extractor,97,85,12,12.37%
ru,youtube,youtube-video-tags-extractor,41,2,39,95.12%
ru,seo,bing-serp-checker,56,0,56,100%
ru,seo,broken-links-checker,96,1,95,98.96%
ru,seo,google-serp-checker,44,0,44,100%
ru,seo,keyword-density-checker,66,0,66,100%
ru,seo,meta-tag-analyzer,94,0,94,100%
ru,seo,on-page-seo-checker,43,0,43,100%
ru,seo,pdf-report,13,0,13,100%
ru,seo,redirect-checker,94,94,0,0%
ru,seo,slug-generator,49,49,0,0%
ru,seo,yahoo-serp-checker,42,0,42,100%
ru,utility,password-generator,51,47,4,7.84%
ru,utility,qr-code-generator,84,80,4,4.76%
ru,utility,random-number-generator,11,7,4,36.36%
ru,utility,username-checker,56,52,4,7.14%
ru,time,date-to-unix-timestamp,6,2,4,66.67%
ru,time,epoch-time-converter,36,19,17,47.22%
ru,time,local-time-to-utc,6,2,4,66.67%
ru,time,time-unit-converter,39,39,0,0%
ru,time,time-zone-converter,35,0,35,100%
ru,time,unix-timestamp-to-date,6,2,4,66.67%
ru,time,utc-to-local-time,6,2,4,66.67%
ru,text,duplicate-line-remover,13,0,13,100%
ru,text,file-difference-checker,18,18,0,0%
ru,text,lorem-ipsum-generator,19,19,0,0%
ru,text,morse-to-text-converter,75,62,13,17.33%
ru,text,text-reverser,68,64,4,5.88%
ru,text,text-to-morse-converter,68,64,4,5.88%
ru,text,word-counter,34,34,0,0%
ru,image,base64-to-image-converter,32,0,32,100%
ru,image,heic-to-jpg-converter,37,1,36,97.3%
ru,image,ico-converter,32,1,31,96.88%
ru,image,image-compressor,58,16,42,72.41%
ru,image,image-converter,42,1,41,97.62%
ru,image,image-to-base64-converter,33,1,32,96.97%
ru,image,jpg-to-png-converter,34,1,33,97.06%
ru,image,jpg-to-webp-converter,35,1,34,97.14%
ru,image,png-to-jpg-converter,33,1,32,96.97%
ru,image,png-to-webp-converter,33,1,32,96.97%
ru,image,svg-to-jpg-converter,37,1,36,97.3%
ru,image,svg-to-png-converter,42,6,36,85.71%
ru,image,webp-to-jpg-converter,38,1,37,97.37%
ru,document,excel-to-pdf,25,2,23,92%
ru,document,jpg-to-pdf,25,2,23,92%
ru,document,pdf-compressor,31,2,29,93.55%
ru,document,pdf-merger,25,2,23,92%
ru,document,pdf-splitter,29,2,27,93.1%
ru,document,pdf-to-excel,25,2,23,92%
ru,document,pdf-to-jpg,25,2,23,92%
ru,document,pdf-to-ppt,25,2,23,92%
ru,document,pdf-to-word,25,2,23,92%
ru,document,ppt-to-pdf,25,2,23,92%
ru,document,word-to-pdf,25,2,23,92%
ru,network,dns-lookup,35,17,18,51.43%
ru,network,domain-to-ip,54,16,38,70.37%
ru,network,internet-speed-test,73,73,0,0%
ru,network,ip-lookup,43,23,20,46.51%
ru,network,ping-test,36,16,20,55.56%
ru,network,port-checker,39,16,23,58.97%
ru,network,reverse-dns-lookup,4,4,0,0%
ru,network,traceroute,29,8,21,72.41%
ru,network,user-agent-parser,45,45,0,0%
ru,network,what-is-my-ip,54,14,40,74.07%
ru,network,what-is-my-isp,55,10,45,81.82%
ru,network,whois-lookup,37,10,27,72.97%
es,development,base64-encoder-decoder,22,0,22,100%
es,development,code-formatter,20,0,20,100%
es,development,cron-job-generator,38,0,38,100%
es,development,css-minifier,22,0,22,100%
es,development,curl-command-builder,15,0,15,100%
es,development,html-encoder-decoder,42,0,42,100%
es,development,html-minifier,16,0,16,100%
es,development,html-to-markdown-converter,25,0,25,100%
es,development,html-viewer,12,0,12,100%
es,development,js-minifier,39,1,38,97.44%
es,development,json-formatter,53,0,53,100%
es,development,json-parser,18,0,18,100%
es,development,json-to-csv-converter,49,0,49,100%
es,development,json-to-sql-converter,72,0,72,100%
es,development,json-to-xml-converter,74,0,74,100%
es,development,json-to-yaml-converter,16,0,16,100%
es,development,jwt-decoder,20,0,20,100%
es,development,markdown-to-html-converter,18,0,18,100%
es,development,md5-generator,17,0,17,100%
es,development,sql-to-json,15,0,15,100%
es,development,sql-to-json-converter,84,0,84,100%
es,development,unicode-encoder-decoder,16,0,16,100%
es,development,url-encoder-decoder,17,0,17,100%
es,development,uuid-generator,14,0,14,100%
es,development,xml-formatter,12,0,12,100%
es,development,xml-to-csv,13,0,13,100%
es,development,xml-to-json,14,0,14,100%
es,development,yaml-to-json,15,0,15,100%
es,converters,angle-converter,36,0,36,100%
es,converters,area-converter,39,0,39,100%
es,converters,ascii-converter,49,0,49,100%
es,converters,binary-hex-converter,44,0,44,100%
es,converters,binary-to-text,45,0,45,100%
es,converters,camel-case-converter,26,4,22,84.62%
es,converters,case-converter,21,3,18,85.71%
es,converters,cooking-unit-converter,39,0,39,100%
es,converters,data-transfer-rate-converter,28,0,28,100%
es,converters,decimal-binary-converter,84,0,84,100%
es,converters,decimal-hex-converter,84,0,84,100%
es,converters,decimal-octal-converter,84,0,84,100%
es,converters,density-converter,35,0,35,100%
es,converters,digital-storage-converter,38,0,38,100%
es,converters,energy-converter,37,0,37,100%
es,converters,force-converter,31,0,31,100%
es,converters,frequency-converter,28,0,28,100%
es,converters,fuel-consumption-converter,27,0,27,100%
es,converters,kebab-case-converter,21,4,17,80.95%
es,converters,length-converter,37,0,37,100%
es,converters,molar-mass-converter,14,0,14,100%
es,converters,number-base-converter,78,78,0,0%
es,converters,pascal-case-converter,21,4,17,80.95%
es,converters,power-converter,24,0,24,100%
es,converters,pressure-converter,24,0,24,100%
es,converters,rgb-hex-converter,62,0,62,100%
es,converters,sentence-case-converter,67,60,7,10.45%
es,converters,snake-case-converter,16,4,12,75%
es,converters,speed-converter,31,0,31,100%
es,converters,studly-case-converter,62,58,4,6.45%
es,converters,temperature-converter,26,0,26,100%
es,converters,text-to-binary,18,7,11,61.11%
es,converters,torque-converter,25,0,25,100%
es,converters,volume-converter,27,0,27,100%
es,converters,weight-converter,29,0,29,100%
es,spreadsheet,csv-to-excel,22,5,17,77.27%
es,spreadsheet,csv-to-json,4,4,0,0%
es,spreadsheet,csv-to-sql,25,5,20,80%
es,spreadsheet,csv-to-tsv,4,4,0,0%
es,spreadsheet,csv-to-xml-converter,75,75,0,0%
es,spreadsheet,excel-to-csv,22,5,17,77.27%
es,spreadsheet,google-sheets-to-excel,22,5,17,77.27%
es,spreadsheet,tsv-to-csv-converter,78,78,0,0%
es,spreadsheet,xls-to-xlsx,22,5,17,77.27%
es,spreadsheet,xlsx-to-xls,22,5,17,77.27%
es,youtube,youtube-channel-data-extractor,74,13,61,82.43%
es,youtube,youtube-channel-id-finder,68,34,34,50%
es,youtube,youtube-earnings-calculator,67,63,4,5.97%
es,youtube,youtube-handle-checker,44,2,42,95.45%
es,youtube,youtube-monetization-checker,56,6,50,89.29%
es,youtube,youtube-tag-generator,40,10,30,75%
es,youtube,youtube-thumbnail-downloader,79,77,2,2.53%
es,youtube,youtube-video-data-extractor,97,79,18,18.56%
es,youtube,youtube-video-tags-extractor,41,2,39,95.12%
es,seo,bing-serp-checker,56,0,56,100%
es,seo,broken-links-checker,96,1,95,98.96%
es,seo,google-serp-checker,44,0,44,100%
es,seo,keyword-density-checker,66,0,66,100%
es,seo,meta-tag-analyzer,94,0,94,100%
es,seo,on-page-seo-checker,43,0,43,100%
es,seo,pdf-report,13,0,13,100%
es,seo,redirect-checker,94,94,0,0%
es,seo,slug-generator,49,49,0,0%
es,seo,yahoo-serp-checker,42,0,42,100%
es,utility,password-generator,51,47,4,7.84%
es,utility,qr-code-generator,84,80,4,4.76%
es,utility,random-number-generator,11,7,4,36.36%
es,utility,username-checker,56,52,4,7.14%
es,time,date-to-unix-timestamp,6,2,4,66.67%
es,time,epoch-time-converter,36,19,17,47.22%
es,time,local-time-to-utc,6,2,4,66.67%
es,time,time-unit-converter,39,39,0,0%
es,time,time-zone-converter,35,0,35,100%
es,time,unix-timestamp-to-date,6,2,4,66.67%
es,time,utc-to-local-time,6,2,4,66.67%
es,text,duplicate-line-remover,13,0,13,100%
es,text,file-difference-checker,18,18,0,0%
es,text,lorem-ipsum-generator,19,19,0,0%
es,text,morse-to-text-converter,75,62,13,17.33%
es,text,text-reverser,68,64,4,5.88%
es,text,text-to-morse-converter,68,64,4,5.88%
es,text,word-counter,34,34,0,0%
es,image,base64-to-image-converter,32,0,32,100%
es,image,heic-to-jpg-converter,37,1,36,97.3%
es,image,ico-converter,32,1,31,96.88%
es,image,image-compressor,58,16,42,72.41%
es,image,image-converter,42,1,41,97.62%
es,image,image-to-base64-converter,33,1,32,96.97%
es,image,jpg-to-png-converter,34,1,33,97.06%
es,image,jpg-to-webp-converter,35,1,34,97.14%
es,image,png-to-jpg-converter,33,1,32,96.97%
es,image,png-to-webp-converter,33,1,32,96.97%
es,image,svg-to-jpg-converter,37,1,36,97.3%
es,image,svg-to-png-converter,42,6,36,85.71%
es,image,webp-to-jpg-converter,38,4,34,89.47%
es,document,excel-to-pdf,25,2,23,92%
es,document,jpg-to-pdf,25,2,23,92%
es,document,pdf-compressor,31,2,29,93.55%
es,document,pdf-merger,25,2,23,92%
es,document,pdf-splitter,29,2,27,93.1%
es,document,pdf-to-excel,25,2,23,92%
es,document,pdf-to-jpg,25,2,23,92%
es,document,pdf-to-ppt,25,25,0,0%
es,document,pdf-to-word,25,2,23,92%
es,document,ppt-to-pdf,25,25,0,0%
es,document,word-to-pdf,25,2,23,92%
es,network,dns-lookup,35,17,18,51.43%
es,network,domain-to-ip,54,16,38,70.37%
es,network,internet-speed-test,73,73,0,0%
es,network,ip-lookup,43,23,20,46.51%
es,network,ping-test,36,16,20,55.56%
es,network,port-checker,39,16,23,58.97%
es,network,reverse-dns-lookup,4,4,0,0%
es,network,traceroute,29,8,21,72.41%
es,network,user-agent-parser,45,45,0,0%
es,network,what-is-my-ip,54,14,40,74.07%
es,network,what-is-my-isp,55,10,45,81.82%
es,network,whois-lookup,37,10,27,72.97%
